# PQC Benchmark Suite (Local PC)
# Using PQClean reference C implementations
# Timer: QueryPerformanceCounter (10000000 ticks/sec)
#
algorithm,operation,security_level,time_us,run_number
# --- ML-DSA-44 ---
# PK=1312 SK=2560 SIG=2420 bytes
ML-DSA,keygen,44,2869,1
ML-DSA,keygen,44,801,2
ML-DSA,keygen,44,844,3
ML-DSA,keygen,44,889,4
ML-DSA,keygen,44,884,5
ML-DSA,keygen,44,884,6
ML-DSA,keygen,44,1144,7
ML-DSA,keygen,44,888,8
ML-DSA,keygen,44,859,9
ML-DSA,keygen,44,847,10
ML-DSA,keygen,44,887,11
ML-DSA,keygen,44,852,12
ML-DSA,keygen,44,880,13
ML-DSA,keygen,44,867,14
ML-DSA,keygen,44,927,15
ML-DSA,keygen,44,918,16
ML-DSA,keygen,44,1007,17
ML-DSA,keygen,44,943,18
ML-DSA,keygen,44,1465,19
ML-DSA,keygen,44,1388,20
ML-DSA,keygen,44,1480,21
ML-DSA,keygen,44,1015,22
ML-DSA,keygen,44,886,23
ML-DSA,keygen,44,824,24
ML-DSA,keygen,44,811,25
ML-DSA,keygen,44,780,26
ML-DSA,keygen,44,775,27
ML-DSA,keygen,44,752,28
ML-DSA,keygen,44,740,29
ML-DSA,keygen,44,804,30
# SUMMARY ML-DSA keygen 44: mean=997 min=740 max=2869 stddev=395.7 cv=39.69% (n=30)
ML-DSA,sign,44,1193,1
ML-DSA,sign,44,2585,2
ML-DSA,sign,44,1745,3
ML-DSA,sign,44,1832,4
ML-DSA,sign,44,2206,5
ML-DSA,sign,44,3402,6
ML-DSA,sign,44,2228,7
ML-DSA,sign,44,3730,8
ML-DSA,sign,44,2263,9
ML-DSA,sign,44,2601,10
ML-DSA,sign,44,4773,11
ML-DSA,sign,44,4871,12
ML-DSA,sign,44,2685,13
ML-DSA,sign,44,1485,14
ML-DSA,sign,44,3820,15
ML-DSA,sign,44,1431,16
ML-DSA,sign,44,2472,17
ML-DSA,sign,44,5560,18
ML-DSA,sign,44,3679,19
ML-DSA,sign,44,1222,20
ML-DSA,sign,44,1260,21
ML-DSA,sign,44,4438,22
ML-DSA,sign,44,1912,23
ML-DSA,sign,44,4188,24
ML-DSA,sign,44,3786,25
ML-DSA,sign,44,1562,26
ML-DSA,sign,44,2308,27
ML-DSA,sign,44,2300,28
ML-DSA,sign,44,1869,29
ML-DSA,sign,44,2886,30
ML-DSA,sign,44,4802,31
ML-DSA,sign,44,2630,32
ML-DSA,sign,44,2672,33
ML-DSA,sign,44,2677,34
ML-DSA,sign,44,1180,35
ML-DSA,sign,44,1678,36
ML-DSA,sign,44,1989,37
ML-DSA,sign,44,9539,38
ML-DSA,sign,44,2005,39
ML-DSA,sign,44,3564,40
ML-DSA,sign,44,1333,41
ML-DSA,sign,44,1309,42
ML-DSA,sign,44,1139,43
ML-DSA,sign,44,2078,44
ML-DSA,sign,44,1895,45
ML-DSA,sign,44,1225,46
ML-DSA,sign,44,6220,47
ML-DSA,sign,44,1690,48
ML-DSA,sign,44,2815,49
ML-DSA,sign,44,1239,50
ML-DSA,sign,44,1217,51
ML-DSA,sign,44,7899,52
ML-DSA,sign,44,1605,53
ML-DSA,sign,44,1531,54
ML-DSA,sign,44,4086,55
