# PQC Benchmark Suite (Local PC)
# Using PQClean reference C implementations
# Timer: QueryPerformanceCounter (10000000 ticks/sec)
#
algorithm,operation,security_level,time_us,run_number
# --- ML-KEM-512 ---
# PK=800 SK=1632 CT=768 SS=32 bytes
ML-KEM,keygen,512,2940,1
ML-KEM,keygen,512,465,2
ML-KEM,keygen,512,443,3
ML-KEM,keygen,512,472,4
ML-KEM,keygen,512,452,5
ML-KEM,keygen,512,450,6
ML-KEM,keygen,512,485,7
ML-KEM,keygen,512,470,8
ML-KEM,keygen,512,458,9
ML-KEM,keygen,512,445,10
ML-KEM,keygen,512,443,11
ML-KEM,keygen,512,443,12
ML-KEM,keygen,512,455,13
ML-KEM,keygen,512,447,14
ML-KEM,keygen,512,484,15
ML-KEM,keygen,512,435,16
ML-KEM,keygen,512,444,17
ML-KEM,keygen,512,486,18
ML-KEM,keygen,512,476,19
ML-KEM,keygen,512,485,20
ML-KEM,keygen,512,496,21
ML-KEM,keygen,512,482,22
ML-KEM,keygen,512,453,23
ML-KEM,keygen,512,580,24
ML-KEM,keygen,512,540,25
ML-KEM,keygen,512,482,26
ML-KEM,keygen,512,476,27
ML-KEM,keygen,512,491,28
ML-KEM,keygen,512,451,29
ML-KEM,keygen,512,455,30
# SUMMARY ML-KEM keygen 512: mean=553 min=435 max=2940 stddev=444.3 cv=80.37% (n=30)
ML-KEM,encaps,512,532,1
ML-KEM,encaps,512,519,2
ML-KEM,encaps,512,527,3
ML-KEM,encaps,512,503,4
ML-KEM,encaps,512,499,5
ML-KEM,encaps,512,506,6
ML-KEM,encaps,512,516,7
ML-KEM,encaps,512,502,8
ML-KEM,encaps,512,499,9
ML-KEM,encaps,512,504,10
ML-KEM,encaps,512,521,11
ML-KEM,encaps,512,536,12
ML-KEM,encaps,512,513,13
ML-KEM,encaps,512,520,14
ML-KEM,encaps,512,510,15
ML-KEM,encaps,512,499,16
ML-KEM,encaps,512,501,17
ML-KEM,encaps,512,526,18
ML-KEM,encaps,512,529,19
ML-KEM,encaps,512,521,20
ML-KEM,encaps,512,514,21
ML-KEM,encaps,512,529,22
ML-KEM,encaps,512,501,23
ML-KEM,encaps,512,514,24
ML-KEM,encaps,512,517,25
ML-KEM,encaps,512,633,26
ML-KEM,encaps,512,524,27
ML-KEM,encaps,512,548,28
ML-KEM,encaps,512,641,29
ML-KEM,encaps,512,524,30
# SUMMARY ML-KEM encaps 512: mean=524 min=499 max=641 stddev=32.5 cv=6.20% (n=30)
ML-KEM,decaps,512,288,1
ML-KEM,decaps,512,286,2
ML-KEM,decaps,512,300,3
ML-KEM,decaps,512,303,4
ML-KEM,decaps,512,294,5
ML-KEM,decaps,512,293,6
ML-KEM,decaps,512,294,7
ML-KEM,decaps,512,294,8
ML-KEM,decaps,512,296,9
ML-KEM,decaps,512,296,10
ML-KEM,decaps,512,304,11
ML-KEM,decaps,512,316,12
ML-KEM,decaps,512,298,13
ML-KEM,decaps,512,295,14
ML-KEM,decaps,512,295,15
ML-KEM,decaps,512,295,16
ML-KEM,decaps,512,301,17
ML-KEM,decaps,512,294,18
ML-KEM,decaps,512,295,19
ML-KEM,decaps,512,295,20
ML-KEM,decaps,512,294,21
ML-KEM,decaps,512,294,22
ML-KEM,decaps,512,294,23
ML-KEM,decaps,512,301,24
ML-KEM,decaps,512,298,25
ML-KEM,decaps,512,297,26
ML-KEM,decaps,512,322,27
ML-KEM,decaps,512,315,28
ML-KEM,decaps,512,315,29
ML-KEM,decaps,512,372,30
# SUMMARY ML-KEM decaps 512: mean=301 min=286 max=372 stddev=15.5 cv=5.14% (n=30)
# CORRECTNESS: ML-KEM-512 shared secrets MATCH
# --- ML-KEM-768 ---
# PK=1184 SK=2400 CT=1088 SS=32 bytes
ML-KEM,keygen,768,731,1
ML-KEM,keygen,768,630,2
ML-KEM,keygen,768,614,3
ML-KEM,keygen,768,611,4
ML-KEM,keygen,768,631,5
ML-KEM,keygen,768,635,6
ML-KEM,keygen,768,696,7
ML-KEM,keygen,768,756,8
ML-KEM,keygen,768,680,9
ML-KEM,keygen,768,604,10
