algorithm,operation,security_level,time_us,run_number,energy_uj
RSA-2048,keygen,2048,25593726,1,2027023.1
RSA-2048,keygen,2048,221377533,2,17533100.6
RSA-2048,keygen,2048,64004712,3,5069173.2
RSA-2048,keygen,2048,198288538,4,15704452.2
RSA-2048,keygen,2048,62597946,5,4957757.3
RSA-2048,encrypt,2048,151875,1,12028.5
RSA-2048,encrypt,2048,139406,2,11041.0
RSA-2048,encrypt,2048,139408,3,11041.1
RSA-2048,encrypt,2048,139390,4,11039.7
RSA-2048,encrypt,2048,139374,5,11038.4
RSA-2048,encrypt,2048,139284,6,11031.3
RSA-2048,encrypt,2048,139286,7,11031.5
RSA-2048,encrypt,2048,139377,8,11038.7
RSA-2048,encrypt,2048,139288,9,11031.6
RSA-2048,encrypt,2048,139283,10,11031.2
RSA-2048,encrypt,2048,139284,11,11031.3
RSA-2048,encrypt,2048,139289,12,11031.7
RSA-2048,encrypt,2048,139286,13,11031.5
RSA-2048,encrypt,2048,139287,14,11031.5
RSA-2048,encrypt,2048,139289,15,11031.7
RSA-2048,encrypt,2048,139376,16,11038.6
RSA-2048,encrypt,2048,139374,17,11038.4
RSA-2048,encrypt,2048,139288,18,11031.6
RSA-2048,encrypt,2048,139285,19,11031.4
RSA-2048,encrypt,2048,139286,20,11031.5
RSA-2048,encrypt,2048,139277,21,11030.7
RSA-2048,encrypt,2048,139277,22,11030.7
RSA-2048,encrypt,2048,139281,23,11031.1
RSA-2048,encrypt,2048,139373,24,11038.3
RSA-2048,encrypt,2048,139473,25,11046.3
RSA-2048,encrypt,2048,139291,26,11031.8
RSA-2048,encrypt,2048,139376,27,11038.6
RSA-2048,encrypt,2048,139378,28,11038.7
RSA-2048,encrypt,2048,139291,29,11031.8
RSA-2048,encrypt,2048,139287,30,11031.5
RSA-2048,decrypt,2048,3836297,1,303834.7
RSA-2048,decrypt,2048,3387621,2,268299.6
RSA-2048,decrypt,2048,3388906,3,268401.4
RSA-2048,decrypt,2048,3387911,4,268322.6
RSA-2048,decrypt,2048,3387263,5,268271.2
RSA-2048,decrypt,2048,3387402,6,268282.2
RSA-2048,decrypt,2048,3388356,7,268357.8
RSA-2048,decrypt,2048,3387823,8,268315.6
RSA-2048,decrypt,2048,3388561,9,268374.0
RSA-2048,decrypt,2048,3387936,10,268324.5
RSA-2048,decrypt,2048,3387515,11,268291.2
RSA-2048,decrypt,2048,3387929,12,268324.0
RSA-2048,decrypt,2048,3387318,13,268275.6
RSA-2048,decrypt,2048,3387433,14,268284.7
RSA-2048,decrypt,2048,3388320,15,268354.9
RSA-2048,decrypt,2048,3389005,16,268409.2
RSA-2048,decrypt,2048,3388329,17,268355.7
RSA-2048,decrypt,2048,3387219,18,268267.7
RSA-2048,decrypt,2048,3387198,19,268266.1
RSA-2048,decrypt,2048,3386707,20,268227.2
RSA-2048,decrypt,2048,3387825,21,268315.7
RSA-2048,decrypt,2048,3388973,22,268406.7
RSA-2048,decrypt,2048,3388370,23,268358.9
RSA-2048,decrypt,2048,3389220,24,268426.2
RSA-2048,decrypt,2048,3387898,25,268321.5
RSA-2048,decrypt,2048,3388352,26,268357.5
RSA-2048,decrypt,2048,3388379,27,268359.6
