# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
# --- ML-KEM-512 (FIPS 203) ---
# PK=800 SK=1632 CT=768 SS=32 bytes
ML-KEM,keygen,512,10627,1
ML-KEM,keygen,512,10230,2
ML-KEM,keygen,512,9914,3
ML-KEM,keygen,512,9904,4
ML-KEM,keygen,512,9893,5
ML-KEM,keygen,512,10119,6
ML-KEM,keygen,512,9907,7
ML-KEM,keygen,512,9884,8
ML-KEM,keygen,512,9902,9
ML-KEM,keygen,512,9880,10
ML-KEM,keygen,512,9888,11
ML-KEM,keygen,512,9907,12
ML-KEM,keygen,512,9886,13
ML-KEM,keygen,512,9896,14
ML-KEM,keygen,512,9897,15
ML-KEM,keygen,512,9900,16
ML-KEM,keygen,512,9899,17
ML-KEM,keygen,512,9898,18
ML-KEM,keygen,512,9900,19
ML-KEM,keygen,512,9904,20
ML-KEM,keygen,512,9891,21
ML-KEM,keygen,512,9876,22
ML-KEM,keygen,512,9893,23
ML-KEM,keygen,512,9914,24
ML-KEM,keygen,512,9899,25
ML-KEM,keygen,512,9899,26
ML-KEM,keygen,512,9903,27
ML-KEM,keygen,512,9892,28
ML-KEM,keygen,512,9897,29
ML-KEM,keygen,512,9892,30
# SUMMARY ML-KEM keygen 512: mean=9940 min=9876 max=10627 stddev=146.1 cv=1.47%
ML-KEM,encaps,512,11705,1
ML-KEM,encaps,512,11879,2
ML-KEM,encaps,512,11857,3
ML-KEM,encaps,512,11778,4
ML-KEM,encaps,512,11766,5
ML-KEM,encaps,512,11780,6
ML-KEM,encaps,512,11796,7
ML-KEM,encaps,512,11789,8
ML-KEM,encaps,512,11809,9
ML-KEM,encaps,512,11778,10
ML-KEM,encaps,512,11785,11
ML-KEM,encaps,512,11808,12
ML-KEM,encaps,512,11780,13
ML-KEM,encaps,512,11810,14
ML-KEM,encaps,512,11796,15
ML-KEM,encaps,512,11792,16
ML-KEM,encaps,512,11784,17
ML-KEM,encaps,512,11797,18
ML-KEM,encaps,512,11790,19
ML-KEM,encaps,512,11778,20
ML-KEM,encaps,512,11817,21
ML-KEM,encaps,512,11809,22
ML-KEM,encaps,512,11798,23
ML-KEM,encaps,512,11772,24
ML-KEM,encaps,512,11770,25
ML-KEM,encaps,512,11778,26
ML-KEM,encaps,512,11807,27
ML-KEM,encaps,512,11769,28
ML-KEM,encaps,512,11784,29
ML-KEM,encaps,512,11781,30
# SUMMARY ML-KEM encaps 512: mean=11791 min=11705 max=11879 stddev=28.8 cv=0.24%
ML-KEM,decaps,512,14392,1
ML-KEM,decaps,512,14580,2
ML-KEM,decaps,512,14558,3
ML-KEM,decaps,512,14551,4
ML-KEM,decaps,512,14533,5
ML-KEM,decaps,512,14520,6
ML-KEM,decaps,512,14532,7
ML-KEM,decaps,512,14540,8
ML-KEM,decaps,512,14514,9
ML-KEM,decaps,512,14534,10
ML-KEM,decaps,512,14539,11
ML-KEM,decaps,512,14529,12
ML-KEM,decaps,512,14540,13
ML-KEM,decaps,512,14527,14
ML-KEM,decaps,512,14531,15
ML-KEM,decaps,512,14532,16
ML-KEM,decaps,512,14529,17
ML-KEM,decaps,512,14509,18
ML-KEM,decaps,512,14517,19
ML-KEM,decaps,512,14530,20
ML-KEM,decaps,512,14526,21
ML-KEM,decaps,512,14528,22
ML-KEM,decaps,512,14551,23
ML-KEM,decaps,512,14550,24
ML-KEM,decaps,512,14547,25
ML-KEM,decaps,512,14517,26
ML-KEM,decaps,512,14541,27
ML-KEM,decaps,512,14545,28
ML-KEM,decaps,512,14534,29
ML-KEM,decaps,512,14534,30
# SUMMARY ML-KEM decaps 512: mean=14530 min=14392 max=14580 stddev=29.3 cv=0.20%
# CORRECTNESS: ML-KEM-512 shared secrets MATCH
# --- ML-KEM-768 (FIPS 203) ---
# PK=1184 SK=2400 CT=1088 SS=32 bytes
ML-KEM,keygen,768,16391,1
ML-KEM,keygen,768,16067,2
ML-KEM,keygen,768,16003,3
ML-KEM,keygen,768,16000,4
ML-KEM,keygen,768,15997,5
ML-KEM,keygen,768,15987,6
ML-KEM,keygen,768,15992,7
ML-KEM,keygen,768,15987,8
ML-KEM,keygen,768,16240,9
ML-KEM,keygen,768,15980,10
ML-KEM,keygen,768,15990,11
ML-KEM,keygen,768,15991,12
ML-KEM,keygen,768,16005,13
ML-KEM,keygen,768,16000,14
ML-KEM,keygen,768,15989,15
ML-KEM,keygen,768,15979,16
ML-KEM,keygen,768,16006,17
ML-KEM,keygen,768,15983,18
ML-KEM,keygen,768,15983,19
ML-KEM,keygen,768,15999,20
ML-KEM,keygen,768,15991,21
ML-KEM,keygen,768,15990,22
ML-KEM,keygen,768,15998,23
ML-KEM,keygen,768,15995,24
ML-KEM,keygen,768,15984,25
ML-KEM,keygen,768,15989,26
ML-KEM,keygen,768,15998,27
ML-KEM,keygen,768,15999,28
ML-KEM,keygen,768,16237,29
ML-KEM,keygen,768,15992,30
# SUMMARY ML-KEM keygen 768: mean=16025 min=15979 max=16391 stddev=92.3 cv=0.58%
ML-KEM,encaps,768,18487,1
ML-KEM,encaps,768,18627,2
ML-KEM,encaps,768,18593,3
ML-KEM,encaps,768,18578,4
ML-KEM,encaps,768,18571,5
ML-KEM,encaps,768,18590,6
ML-KEM,encaps,768,18566,7
ML-KEM,encaps,768,18563,8
ML-KEM,encaps,768,18575,9
ML-KEM,encaps,768,18576,10
ML-KEM,encaps,768,18575,11
ML-KEM,encaps,768,18575,12
ML-KEM,encaps,768,18585,13
ML-KEM,encaps,768,18596,14
ML-KEM,encaps,768,18586,15
ML-KEM,encaps,768,18564,16
ML-KEM,encaps,768,18568,17
ML-KEM,encaps,768,18566,18
ML-KEM,encaps,768,18577,19
ML-KEM,encaps,768,18580,20
ML-KEM,encaps,768,18566,21
ML-KEM,encaps,768,18574,22
ML-KEM,encaps,768,18584,23
ML-KEM,encaps,768,18570,24
ML-KEM,encaps,768,18586,25
ML-KEM,encaps,768,18573,26
ML-KEM,encaps,768,18577,27
ML-KEM,encaps,768,18576,28
ML-KEM,encaps,768,18576,29
ML-KEM,encaps,768,18565,30
# SUMMARY ML-KEM encaps 768: mean=18575 min=18487 max=18627 stddev=20.5 cv=0.11%
ML-KEM,decaps,768,21954,1
ML-KEM,decaps,768,22053,2
ML-KEM,decaps,768,22032,3
ML-KEM,decaps,768,22047,4
ML-KEM,decaps,768,22022,5
ML-KEM,decaps,768,22054,6
ML-KEM,decaps,768,22055,7
ML-KEM,decaps,768,22034,8
ML-KEM,decaps,768,22027,9
ML-KEM,decaps,768,22025,10
ML-KEM,decaps,768,22053,11
ML-KEM,decaps,768,22040,12
ML-KEM,decaps,768,22056,13
ML-KEM,decaps,768,22024,14
ML-KEM,decaps,768,22050,15
ML-KEM,decaps,768,22033,16
ML-KEM,decaps,768,22042,17
ML-KEM,decaps,768,22019,18
ML-KEM,decaps,768,22032,19
ML-KEM,decaps,768,22038,20
ML-KEM,decaps,768,22029,21
ML-KEM,decaps,768,22033,22
ML-KEM,decaps,768,22035,23
ML-KEM,decaps,768,22050,24
ML-KEM,decaps,768,22040,25
ML-KEM,decaps,768,22021,26
ML-KEM,decaps,768,22047,27
ML-KEM,decaps,768,22039,28
ML-KEM,decaps,768,22034,29
ML-KEM,decaps,768,22058,30
# SUMMARY ML-KEM decaps 768: mean=22036 min=21954 max=22058 stddev=18.9 cv=0.09%
# CORRECTNESS: ML-KEM-768 shared secrets MATCH
# --- ML-KEM-1024 (FIPS 203) ---
# PK=1568 SK=3168 CT=1568 SS=32 bytes
ML-KEM,keygen,1024,25462,1
ML-KEM,keygen,1024,25168,2
ML-KEM,keygen,1024,25148,3
ML-KEM,keygen,1024,25128,4
ML-KEM,keygen,1024,25125,5
ML-KEM,keygen,1024,25131,6
ML-KEM,keygen,1024,25122,7
ML-KEM,keygen,1024,25142,8
ML-KEM,keygen,1024,25115,9
ML-KEM,keygen,1024,25131,10
ML-KEM,keygen,1024,25372,11
ML-KEM,keygen,1024,25154,12
ML-KEM,keygen,1024,25118,13
ML-KEM,keygen,1024,25124,14
ML-KEM,keygen,1024,25390,15
ML-KEM,keygen,1024,25108,16
ML-KEM,keygen,1024,25124,17
ML-KEM,keygen,1024,25124,18
ML-KEM,keygen,1024,25123,19
ML-KEM,keygen,1024,25126,20
ML-KEM,keygen,1024,25126,21
ML-KEM,keygen,1024,25133,22
ML-KEM,keygen,1024,25119,23
ML-KEM,keygen,1024,25134,24
ML-KEM,keygen,1024,25142,25
ML-KEM,keygen,1024,25128,26
ML-KEM,keygen,1024,25128,27
ML-KEM,keygen,1024,25342,28
ML-KEM,keygen,1024,25144,29
ML-KEM,keygen,1024,25144,30
# SUMMARY ML-KEM keygen 1024: mean=25166 min=25108 max=25462 stddev=90.8 cv=0.36%
ML-KEM,encaps,1024,28072,1
ML-KEM,encaps,1024,28149,2
ML-KEM,encaps,1024,28079,3
ML-KEM,encaps,1024,28083,4
ML-KEM,encaps,1024,28088,5
ML-KEM,encaps,1024,28063,6
ML-KEM,encaps,1024,28073,7
ML-KEM,encaps,1024,28077,8
ML-KEM,encaps,1024,28085,9
ML-KEM,encaps,1024,28074,10
ML-KEM,encaps,1024,28063,11
ML-KEM,encaps,1024,28069,12
ML-KEM,encaps,1024,28085,13
ML-KEM,encaps,1024,28102,14
ML-KEM,encaps,1024,28058,15
ML-KEM,encaps,1024,28075,16
ML-KEM,encaps,1024,28078,17
ML-KEM,encaps,1024,28058,18
ML-KEM,encaps,1024,28066,19
ML-KEM,encaps,1024,28065,20
ML-KEM,encaps,1024,28078,21
ML-KEM,encaps,1024,28093,22
ML-KEM,encaps,1024,28084,23
ML-KEM,encaps,1024,28059,24
ML-KEM,encaps,1024,28077,25
ML-KEM,encaps,1024,28087,26
ML-KEM,encaps,1024,28088,27
ML-KEM,encaps,1024,28081,28
ML-KEM,encaps,1024,28078,29
ML-KEM,encaps,1024,28059,30
# SUMMARY ML-KEM encaps 1024: mean=28078 min=28058 max=28149 stddev=17.1 cv=0.06%
ML-KEM,decaps,1024,32406,1
ML-KEM,decaps,1024,32492,2
ML-KEM,decaps,1024,32466,3
ML-KEM,decaps,1024,32437,4
ML-KEM,decaps,1024,32440,5
ML-KEM,decaps,1024,32432,6
ML-KEM,decaps,1024,32441,7
ML-KEM,decaps,1024,32464,8
ML-KEM,decaps,1024,32436,9
ML-KEM,decaps,1024,32440,10
ML-KEM,decaps,1024,32446,11
ML-KEM,decaps,1024,32441,12
ML-KEM,decaps,1024,32430,13
ML-KEM,decaps,1024,32443,14
ML-KEM,decaps,1024,32445,15
ML-KEM,decaps,1024,32427,16
ML-KEM,decaps,1024,32415,17
ML-KEM,decaps,1024,32445,18
ML-KEM,decaps,1024,32437,19
ML-KEM,decaps,1024,32447,20
ML-KEM,decaps,1024,32445,21
ML-KEM,decaps,1024,32447,22
ML-KEM,decaps,1024,32430,23
ML-KEM,decaps,1024,32447,24
ML-KEM,decaps,1024,32435,25
ML-KEM,decaps,1024,32436,26
ML-KEM,decaps,1024,32456,27
ML-KEM,decaps,1024,32438,28
ML-KEM,decaps,1024,32431,29
ML-KEM,decaps,1024,32427,30
# SUMMARY ML-KEM decaps 1024: mean=32441 min=32406 max=32492 stddev=15.3 cv=0.05%
# CORRECTNESS: ML-KEM-1024 shared secrets MATCH
# === ML-KEM benchmarks complete ===
