algorithm,operation,security_level,time_us,run_number,energy_uj
ML-DSA,keygen,44,41075,1,3253.1
ML-DSA,keygen,44,40061,2,3172.8
ML-DSA,keygen,44,40026,3,3170.1
ML-DSA,keygen,44,39779,4,3150.5
ML-DSA,keygen,44,39535,5,3131.2
ML-DSA,keygen,44,40246,6,3187.5
ML-DSA,keygen,44,40013,7,3169.0
ML-DSA,keygen,44,39775,8,3150.2
ML-DSA,keygen,44,40001,9,3168.1
ML-DSA,keygen,44,39754,10,3148.5
ML-DSA,keygen,44,39498,11,3128.2
ML-DSA,keygen,44,39995,12,3167.6
ML-DSA,keygen,44,39752,13,3148.4
ML-DSA,keygen,44,40244,14,3187.3
ML-DSA,keygen,44,40001,15,3168.1
ML-DSA,keygen,44,39998,16,3167.8
ML-DSA,keygen,44,39767,17,3149.5
ML-DSA,keygen,44,39276,18,3110.7
ML-DSA,keygen,44,40243,19,3187.2
ML-DSA,keygen,44,39765,20,3149.4
ML-DSA,keygen,44,39998,21,3167.8
ML-DSA,keygen,44,39285,22,3111.4
ML-DSA,keygen,44,39981,23,3166.5
ML-DSA,keygen,44,40006,24,3168.5
ML-DSA,keygen,44,39301,25,3112.6
ML-DSA,keygen,44,39747,26,3148.0
ML-DSA,keygen,44,40250,27,3187.8
ML-DSA,keygen,44,40242,28,3187.2
ML-DSA,keygen,44,40241,29,3187.1
ML-DSA,keygen,44,40232,30,3186.4
ML-DSA,sign,44,101111,1,8008.0
ML-DSA,sign,44,592826,2,46951.8
ML-DSA,sign,44,70177,3,5558.0
ML-DSA,sign,44,70159,4,5556.6
ML-DSA,sign,44,70175,5,5557.9
ML-DSA,sign,44,70165,6,5557.1
ML-DSA,sign,44,188419,7,14922.8
ML-DSA,sign,44,126604,8,10027.0
ML-DSA,sign,44,495753,9,39263.6
ML-DSA,sign,44,233964,10,18529.9
ML-DSA,sign,44,95704,11,7579.8
ML-DSA,sign,44,70150,12,5555.9
ML-DSA,sign,44,203267,13,16098.7
ML-DSA,sign,44,70153,14,5556.1
ML-DSA,sign,44,95672,15,7577.2
ML-DSA,sign,44,157499,16,12473.9
ML-DSA,sign,44,70169,17,5557.4
ML-DSA,sign,44,146774,18,11624.5
ML-DSA,sign,44,121213,19,9600.1
ML-DSA,sign,44,326881,20,25889.0
ML-DSA,sign,44,281494,21,22294.3
ML-DSA,sign,44,70175,22,5557.9
ML-DSA,sign,44,203149,23,16089.4
ML-DSA,sign,44,137685,24,10904.7
ML-DSA,sign,44,213854,25,16937.2
ML-DSA,sign,44,157549,26,12477.9
ML-DSA,sign,44,197740,27,15661.0
ML-DSA,sign,44,95707,28,7580.0
ML-DSA,sign,44,126593,29,10026.2
ML-DSA,sign,44,101027,30,8001.3
ML-DSA,sign,44,152142,31,12049.6
ML-DSA,sign,44,398010,32,31522.4
ML-DSA,sign,44,177665,33,14071.1
ML-DSA,sign,44,70188,34,5558.9
ML-DSA,sign,44,275644,35,21831.0
ML-DSA,sign,44,194118,36,15374.1
ML-DSA,sign,44,70125,37,5553.9
ML-DSA,sign,44,281022,38,22256.9
ML-DSA,sign,44,397982,39,31520.2
ML-DSA,sign,44,244800,40,19388.2
ML-DSA,sign,44,197802,41,15665.9
ML-DSA,sign,44,157548,42,12477.8
ML-DSA,sign,44,157442,43,12469.4
ML-DSA,sign,44,70129,44,5554.2
ML-DSA,sign,44,70157,45,5556.4
ML-DSA,sign,44,126582,46,10025.3
ML-DSA,sign,44,101100,47,8007.1
ML-DSA,sign,44,162858,48,12898.4
ML-DSA,sign,44,70137,49,5554.9
ML-DSA,sign,44,126647,50,10030.4
ML-DSA,sign,44,121281,51,9605.5
ML-DSA,sign,44,101047,52,8002.9
ML-DSA,sign,44,95758,53,7584.0
ML-DSA,sign,44,95710,54,7580.2
ML-DSA,sign,44,152105,55,12046.7
ML-DSA,sign,44,208546,56,16516.8
ML-DSA,sign,44,101094,57,8006.6
ML-DSA,sign,44,121267,58,9604.3
ML-DSA,sign,44,474422,59,37574.2
ML-DSA,sign,44,157519,60,12475.5
ML-DSA,sign,44,188433,61,14923.9
ML-DSA,sign,44,188495,62,14928.8
ML-DSA,sign,44,70149,63,5555.8
ML-DSA,sign,44,101076,64,8005.2
ML-DSA,sign,44,183059,65,14498.3
ML-DSA,sign,44,126614,66,10027.8
ML-DSA,sign,44,101134,67,8009.8
ML-DSA,sign,44,428830,68,33963.3
ML-DSA,sign,44,208980,69,16551.2
ML-DSA,sign,44,70172,70,5557.6
ML-DSA,sign,44,188485,71,14928.0
ML-DSA,sign,44,70145,72,5555.5
ML-DSA,sign,44,208622,73,16522.9
ML-DSA,sign,44,101093,74,8006.6
ML-DSA,sign,44,70172,75,5557.6
ML-DSA,sign,44,239450,76,18964.4
ML-DSA,sign,44,95705,77,7579.8
ML-DSA,sign,44,152211,78,12055.1
ML-DSA,sign,44,172298,79,13646.0
ML-DSA,sign,44,152157,80,12050.8
ML-DSA,sign,44,203165,81,16090.7
ML-DSA,sign,44,70152,82,5556.0
ML-DSA,sign,44,188464,83,14926.3
ML-DSA,sign,44,398022,84,31523.3
ML-DSA,sign,44,162903,85,12901.9
ML-DSA,sign,44,781973,86,61932.3
ML-DSA,sign,44,126501,87,10018.9
ML-DSA,sign,44,177534,88,14060.7
ML-DSA,sign,44,70157,89,5556.4
ML-DSA,sign,44,332459,90,26330.8
ML-DSA,sign,44,208468,91,16510.7
ML-DSA,sign,44,131973,92,10452.3
ML-DSA,sign,44,70160,93,5556.7
ML-DSA,sign,44,126561,94,10023.6
ML-DSA,sign,44,121290,95,9606.2
ML-DSA,sign,44,70170,96,5557.5
ML-DSA,sign,44,183398,97,14525.1
ML-DSA,sign,44,146822,98,11628.3
ML-DSA,sign,44,70185,99,5558.7
ML-DSA,sign,44,70138,100,5554.9
ML-DSA,verify,44,43845,1,3472.5
ML-DSA,verify,44,44008,2,3485.4
ML-DSA,verify,44,43990,3,3484.0
ML-DSA,verify,44,43984,4,3483.5
ML-DSA,verify,44,43986,5,3483.7
ML-DSA,verify,44,43983,6,3483.5
ML-DSA,verify,44,43987,7,3483.8
ML-DSA,verify,44,43988,8,3483.8
ML-DSA,verify,44,43978,9,3483.1
ML-DSA,verify,44,43987,10,3483.8
ML-DSA,verify,44,43982,11,3483.4
ML-DSA,verify,44,43999,12,3484.7
ML-DSA,verify,44,43974,13,3482.7
ML-DSA,verify,44,43979,14,3483.1
ML-DSA,verify,44,43974,15,3482.7
ML-DSA,verify,44,43978,16,3483.1
ML-DSA,verify,44,43981,17,3483.3
ML-DSA,verify,44,44006,18,3485.3
ML-DSA,verify,44,43981,19,3483.3
ML-DSA,verify,44,43969,20,3482.3
ML-DSA,verify,44,43969,21,3482.3
ML-DSA,verify,44,43985,22,3483.6
ML-DSA,verify,44,43980,23,3483.2
ML-DSA,verify,44,43985,24,3483.6
ML-DSA,verify,44,43977,25,3483.0
ML-DSA,verify,44,43982,26,3483.4
