# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
# --- ML-DSA-44 (FIPS 204) ---
# PK=1312 SK=2560 SIG=2420 bytes
ML-DSA,keygen,44,41075,1
ML-DSA,keygen,44,40061,2
ML-DSA,keygen,44,40026,3
ML-DSA,keygen,44,39779,4
ML-DSA,keygen,44,39535,5
ML-DSA,keygen,44,40246,6
ML-DSA,keygen,44,40013,7
ML-DSA,keygen,44,39775,8
ML-DSA,keygen,44,40001,9
ML-DSA,keygen,44,39754,10
ML-DSA,keygen,44,39498,11
ML-DSA,keygen,44,39995,12
ML-DSA,keygen,44,39752,13
ML-DSA,keygen,44,40244,14
ML-DSA,keygen,44,40001,15
ML-DSA,keygen,44,39998,16
ML-DSA,keygen,44,39767,17
ML-DSA,keygen,44,39276,18
ML-DSA,keygen,44,40243,19
ML-DSA,keygen,44,39765,20
ML-DSA,keygen,44,39998,21
ML-DSA,keygen,44,39285,22
ML-DSA,keygen,44,39981,23
ML-DSA,keygen,44,40006,24
ML-DSA,keygen,44,39301,25
ML-DSA,keygen,44,39747,26
ML-DSA,keygen,44,40250,27
ML-DSA,keygen,44,40242,28
ML-DSA,keygen,44,40241,29
ML-DSA,keygen,44,40232,30
# SUMMARY ML-DSA keygen 44: mean=39936 min=39276 max=41075 stddev=357.7 cv=0.90%
ML-DSA,sign,44,101111,1
ML-DSA,sign,44,592826,2
ML-DSA,sign,44,70177,3
ML-DSA,sign,44,70159,4
ML-DSA,sign,44,70175,5
ML-DSA,sign,44,70165,6
ML-DSA,sign,44,188419,7
ML-DSA,sign,44,126604,8
ML-DSA,sign,44,495753,9
ML-DSA,sign,44,233964,10
ML-DSA,sign,44,95704,11
ML-DSA,sign,44,70150,12
ML-DSA,sign,44,203267,13
ML-DSA,sign,44,70153,14
ML-DSA,sign,44,95672,15
ML-DSA,sign,44,157499,16
ML-DSA,sign,44,70169,17
ML-DSA,sign,44,146774,18
ML-DSA,sign,44,121213,19
ML-DSA,sign,44,326881,20
ML-DSA,sign,44,281494,21
ML-DSA,sign,44,70175,22
ML-DSA,sign,44,203149,23
ML-DSA,sign,44,137685,24
ML-DSA,sign,44,213854,25
ML-DSA,sign,44,157549,26
ML-DSA,sign,44,197740,27
ML-DSA,sign,44,95707,28
ML-DSA,sign,44,126593,29
ML-DSA,sign,44,101027,30
ML-DSA,sign,44,152142,31
ML-DSA,sign,44,398010,32
ML-DSA,sign,44,177665,33
ML-DSA,sign,44,70188,34
ML-DSA,sign,44,275644,35
ML-DSA,sign,44,194118,36
ML-DSA,sign,44,70125,37
ML-DSA,sign,44,281022,38
ML-DSA,sign,44,397982,39
