algorithm,operation,security_level,time_us,run_number,energy_uj
RSA-2048,keygen,2048,37109679,1,2939086.6
RSA-2048,keygen,2048,98548332,2,7805027.9
RSA-2048,keygen,2048,31995612,3,2534052.5
RSA-2048,keygen,2048,148309528,4,11746114.6
RSA-2048,keygen,2048,113980019,5,9027217.5
RSA-2048,encrypt,2048,149300,1,11824.6
RSA-2048,encrypt,2048,139424,2,11042.4
RSA-2048,encrypt,2048,139323,3,11034.4
RSA-2048,encrypt,2048,139294,4,11032.1
RSA-2048,encrypt,2048,139291,5,11031.8
RSA-2048,encrypt,2048,139291,6,11031.8
RSA-2048,encrypt,2048,139285,7,11031.4
RSA-2048,encrypt,2048,139282,8,11031.1
RSA-2048,encrypt,2048,139290,9,11031.8
RSA-2048,encrypt,2048,139290,10,11031.8
RSA-2048,encrypt,2048,139372,11,11038.3
RSA-2048,encrypt,2048,139286,12,11031.5
RSA-2048,encrypt,2048,139290,13,11031.8
RSA-2048,encrypt,2048,139376,14,11038.6
RSA-2048,encrypt,2048,140674,15,11141.4
RSA-2048,encrypt,2048,139410,16,11041.3
RSA-2048,encrypt,2048,139382,17,11039.1
RSA-2048,encrypt,2048,139288,18,11031.6
RSA-2048,encrypt,2048,139288,19,11031.6
RSA-2048,encrypt,2048,139289,20,11031.7
RSA-2048,encrypt,2048,139292,21,11031.9
RSA-2048,encrypt,2048,139276,22,11030.7
RSA-2048,encrypt,2048,139289,23,11031.7
RSA-2048,encrypt,2048,139281,24,11031.1
RSA-2048,encrypt,2048,139372,25,11038.3
RSA-2048,encrypt,2048,139276,26,11030.7
RSA-2048,encrypt,2048,139376,27,11038.6
RSA-2048,encrypt,2048,139377,28,11038.7
RSA-2048,encrypt,2048,139378,29,11038.7
RSA-2048,encrypt,2048,139366,30,11037.8
RSA-2048,decrypt,2048,3826107,1,303027.7
RSA-2048,decrypt,2048,3377538,2,267501.0
RSA-2048,decrypt,2048,3378847,3,267604.7
RSA-2048,decrypt,2048,3378406,4,267569.8
RSA-2048,decrypt,2048,3378450,5,267573.2
RSA-2048,decrypt,2048,3378277,6,267559.5
RSA-2048,decrypt,2048,3378286,7,267560.3
RSA-2048,decrypt,2048,3379057,8,267621.3
RSA-2048,decrypt,2048,3378107,9,267546.1
RSA-2048,decrypt,2048,3378773,10,267598.8
RSA-2048,decrypt,2048,3378393,11,267568.7
RSA-2048,decrypt,2048,3378780,12,267599.4
RSA-2048,decrypt,2048,3378896,13,267608.6
RSA-2048,decrypt,2048,3378860,14,267605.7
RSA-2048,decrypt,2048,3378395,15,267568.9
RSA-2048,decrypt,2048,3378509,16,267577.9
RSA-2048,decrypt,2048,3378364,17,267566.4
RSA-2048,decrypt,2048,3378083,18,267544.2
RSA-2048,decrypt,2048,3378549,19,267581.1
RSA-2048,decrypt,2048,3378332,20,267563.9
RSA-2048,decrypt,2048,3378629,21,267587.4
RSA-2048,decrypt,2048,3378606,22,267585.6
RSA-2048,decrypt,2048,3379494,23,267655.9
RSA-2048,decrypt,2048,3378820,24,267602.5
RSA-2048,decrypt,2048,3378015,25,267538.8
RSA-2048,decrypt,2048,3378671,26,267590.7
RSA-2048,decrypt,2048,3378370,27,267566.9
RSA-2048,decrypt,2048,3378309,28,267562.1
RSA-2048,decrypt,2048,3378958,29,267613.5
RSA-2048,decrypt,2048,3378394,30,267568.8
ECDSA-P256,keygen,256,84227,1,6670.8
ECDSA-P256,keygen,256,83416,2,6606.5
ECDSA-P256,keygen,256,84114,3,6661.8
ECDSA-P256,keygen,256,83652,4,6625.2
ECDSA-P256,keygen,256,83997,5,6652.6
ECDSA-P256,keygen,256,83384,6,6604.0
ECDSA-P256,keygen,256,83317,7,6598.7
ECDSA-P256,keygen,256,84103,8,6661.0
ECDSA-P256,keygen,256,83909,9,6645.6
ECDSA-P256,keygen,256,83566,10,6618.4
ECDSA-P256,keygen,256,82859,11,6562.4
ECDSA-P256,keygen,256,83275,12,6595.4
ECDSA-P256,keygen,256,83676,13,6627.1
ECDSA-P256,keygen,256,83487,14,6612.2
ECDSA-P256,keygen,256,83890,15,6644.1
ECDSA-P256,keygen,256,82949,16,6569.6
ECDSA-P256,keygen,256,83358,17,6602.0
ECDSA-P256,keygen,256,83458,18,6609.9
ECDSA-P256,keygen,256,83885,19,6643.7
ECDSA-P256,keygen,256,83489,20,6612.3
ECDSA-P256,keygen,256,83430,21,6607.7
ECDSA-P256,keygen,256,83245,22,6593.0
ECDSA-P256,keygen,256,83275,23,6595.4
ECDSA-P256,keygen,256,83324,24,6599.3
ECDSA-P256,keygen,256,83763,25,6634.0
ECDSA-P256,keygen,256,84149,26,6664.6
ECDSA-P256,keygen,256,83841,27,6640.2
ECDSA-P256,keygen,256,83127,28,6583.7
ECDSA-P256,keygen,256,83694,29,6628.6
ECDSA-P256,keygen,256,83460,30,6610.0
ECDSA-P256,sign,256,91877,1,7276.7
ECDSA-P256,sign,256,92305,2,7310.6
ECDSA-P256,sign,256,92757,3,7346.4
ECDSA-P256,sign,256,92753,4,7346.0
ECDSA-P256,sign,256,92821,5,7351.4
ECDSA-P256,sign,256,92879,6,7356.0
ECDSA-P256,sign,256,92170,7,7299.9
ECDSA-P256,sign,256,92592,8,7333.3
ECDSA-P256,sign,256,91877,9,7276.7
ECDSA-P256,sign,256,93602,10,7413.3
ECDSA-P256,sign,256,92979,11,7363.9
ECDSA-P256,sign,256,92784,12,7348.5
ECDSA-P256,sign,256,92879,13,7356.0
ECDSA-P256,sign,256,92924,14,7359.6
ECDSA-P256,sign,256,92994,15,7365.1
ECDSA-P256,sign,256,92559,16,7330.7
ECDSA-P256,sign,256,92384,17,7316.8
ECDSA-P256,sign,256,91878,18,7276.7
ECDSA-P256,sign,256,92554,19,7330.3
ECDSA-P256,sign,256,92256,20,7306.7
ECDSA-P256,sign,256,92090,21,7293.5
ECDSA-P256,sign,256,92124,22,7296.2
ECDSA-P256,sign,256,92712,23,7342.8
ECDSA-P256,sign,256,92953,24,7361.9
ECDSA-P256,sign,256,92248,25,7306.0
ECDSA-P256,sign,256,92334,26,7312.9
ECDSA-P256,sign,256,92322,27,7311.9
ECDSA-P256,sign,256,92383,28,7316.7
ECDSA-P256,sign,256,92583,29,7332.6
ECDSA-P256,sign,256,92108,30,7295.0
ECDSA-P256,verify,256,320450,1,25379.6
ECDSA-P256,verify,256,320621,2,25393.2
ECDSA-P256,verify,256,320527,3,25385.7
ECDSA-P256,verify,256,320516,4,25384.9
ECDSA-P256,verify,256,320606,5,25392.0
ECDSA-P256,verify,256,320719,6,25400.9
ECDSA-P256,verify,256,320642,7,25394.8
ECDSA-P256,verify,256,320614,8,25392.6
ECDSA-P256,verify,256,320519,9,25385.1
ECDSA-P256,verify,256,320659,10,25396.2
ECDSA-P256,verify,256,320626,11,25393.6
ECDSA-P256,verify,256,320772,12,25405.1
ECDSA-P256,verify,256,320585,13,25390.3
ECDSA-P256,verify,256,320490,14,25382.8
ECDSA-P256,verify,256,320777,15,25405.5
ECDSA-P256,verify,256,320742,16,25402.8
ECDSA-P256,verify,256,320750,17,25403.4
ECDSA-P256,verify,256,320604,18,25391.8
ECDSA-P256,verify,256,320562,19,25388.5
