algorithm,operation,security_level,time_us,run_number,energy_uj
ML-KEM,keygen,512,10645,1,843.1
ML-KEM,keygen,512,9960,2,788.8
ML-KEM,keygen,512,9904,3,784.4
ML-KEM,keygen,512,9888,4,783.1
ML-KEM,keygen,512,9891,5,783.4
ML-KEM,keygen,512,9904,6,784.4
ML-KEM,keygen,512,9919,7,785.6
ML-KEM,keygen,512,9890,8,783.3
ML-KEM,keygen,512,9877,9,782.3
ML-KEM,keygen,512,9901,10,784.2
ML-KEM,keygen,512,9883,11,782.7
ML-KEM,keygen,512,9871,12,781.8
ML-KEM,keygen,512,9890,13,783.3
ML-KEM,keygen,512,9900,14,784.1
ML-KEM,keygen,512,9887,15,783.1
ML-KEM,keygen,512,9903,16,784.3
ML-KEM,keygen,512,9897,17,783.8
ML-KEM,keygen,512,9896,18,783.8
ML-KEM,keygen,512,9887,19,783.1
ML-KEM,keygen,512,9888,20,783.1
ML-KEM,keygen,512,9905,21,784.5
ML-KEM,keygen,512,9890,22,783.3
ML-KEM,keygen,512,9885,23,782.9
ML-KEM,keygen,512,9909,24,784.8
ML-KEM,keygen,512,9879,25,782.4
ML-KEM,keygen,512,9891,26,783.4
ML-KEM,keygen,512,9892,27,783.4
ML-KEM,keygen,512,9891,28,783.4
ML-KEM,keygen,512,9905,29,784.5
ML-KEM,keygen,512,9872,30,781.9
ML-KEM,encaps,512,11471,1,908.5
ML-KEM,encaps,512,11615,2,919.9
ML-KEM,encaps,512,11553,3,915.0
ML-KEM,encaps,512,11549,4,914.7
ML-KEM,encaps,512,11543,5,914.2
ML-KEM,encaps,512,11544,6,914.3
ML-KEM,encaps,512,11522,7,912.5
ML-KEM,encaps,512,11542,8,914.1
ML-KEM,encaps,512,11540,9,914.0
ML-KEM,encaps,512,11553,10,915.0
ML-KEM,encaps,512,11575,11,916.7
ML-KEM,encaps,512,11533,12,913.4
ML-KEM,encaps,512,11558,13,915.4
ML-KEM,encaps,512,11518,14,912.2
ML-KEM,encaps,512,11539,15,913.9
ML-KEM,encaps,512,11534,16,913.5
ML-KEM,encaps,512,11559,17,915.5
ML-KEM,encaps,512,11542,18,914.1
ML-KEM,encaps,512,11549,19,914.7
ML-KEM,encaps,512,11544,20,914.3
ML-KEM,encaps,512,11528,21,913.0
ML-KEM,encaps,512,11545,22,914.4
