algorithm,operation,security_level,time_us,run_number,energy_uj
RSA-2048,keygen,2048,46090978,1,3650405.5
RSA-2048,keygen,2048,277366015,2,21967388.4
RSA-2048,keygen,2048,267416358,3,21179375.6
RSA-2048,keygen,2048,303002625,4,23997807.9
RSA-2048,keygen,2048,184181541,5,14587178.0
RSA-2048,encrypt,2048,148860,1,11789.7
RSA-2048,encrypt,2048,139405,2,11040.9
RSA-2048,encrypt,2048,139401,3,11040.6
RSA-2048,encrypt,2048,139289,4,11031.7
RSA-2048,encrypt,2048,139375,5,11038.5
RSA-2048,encrypt,2048,139288,6,11031.6
RSA-2048,encrypt,2048,139274,7,11030.5
RSA-2048,encrypt,2048,139377,8,11038.7
RSA-2048,encrypt,2048,139284,9,11031.3
RSA-2048,encrypt,2048,139283,10,11031.2
RSA-2048,encrypt,2048,139370,11,11038.1
RSA-2048,encrypt,2048,139290,12,11031.8
RSA-2048,encrypt,2048,139295,13,11032.2
RSA-2048,encrypt,2048,139289,14,11031.7
RSA-2048,encrypt,2048,139373,15,11038.3
RSA-2048,encrypt,2048,139283,16,11031.2
RSA-2048,encrypt,2048,139377,17,11038.7
RSA-2048,encrypt,2048,139291,18,11031.8
RSA-2048,encrypt,2048,139289,19,11031.7
RSA-2048,encrypt,2048,139288,20,11031.6
RSA-2048,encrypt,2048,140670,21,11141.1
RSA-2048,encrypt,2048,139400,22,11040.5
RSA-2048,encrypt,2048,139294,23,11032.1
RSA-2048,encrypt,2048,139291,24,11031.8
RSA-2048,encrypt,2048,139287,25,11031.5
RSA-2048,encrypt,2048,139281,26,11031.1
RSA-2048,encrypt,2048,139283,27,11031.2
RSA-2048,encrypt,2048,139279,28,11030.9
RSA-2048,encrypt,2048,139374,29,11038.4
RSA-2048,encrypt,2048,139286,30,11031.5
RSA-2048,decrypt,2048,3823959,1,302857.6
RSA-2048,decrypt,2048,3378293,2,267560.8
RSA-2048,decrypt,2048,3378846,3,267604.6
RSA-2048,decrypt,2048,3378170,4,267551.1
RSA-2048,decrypt,2048,3378399,5,267569.2
RSA-2048,decrypt,2048,3377877,6,267527.9
RSA-2048,decrypt,2048,3377676,7,267511.9
RSA-2048,decrypt,2048,3378694,8,267592.6
RSA-2048,decrypt,2048,3377625,9,267507.9
RSA-2048,decrypt,2048,3377852,10,267525.9
RSA-2048,decrypt,2048,3377872,11,267527.5
RSA-2048,decrypt,2048,3377863,12,267526.7
RSA-2048,decrypt,2048,3378341,13,267564.6
RSA-2048,decrypt,2048,3378379,14,267567.6
RSA-2048,decrypt,2048,3378573,15,267583.0
RSA-2048,decrypt,2048,3378002,16,267537.8
RSA-2048,decrypt,2048,3376952,17,267454.6
RSA-2048,decrypt,2048,3378410,18,267570.1
RSA-2048,decrypt,2048,3378006,19,267538.1
