algorithm,operation,security_level,time_us,run_number,energy_uj
ML-DSA,keygen,44,40597,1,3215.3
ML-DSA,keygen,44,39836,2,3155.0
ML-DSA,keygen,44,40244,3,3187.3
ML-DSA,keygen,44,39963,4,3165.1
ML-DSA,keygen,44,39504,5,3128.7
ML-DSA,keygen,44,39475,6,3126.4
ML-DSA,keygen,44,40228,7,3186.1
ML-DSA,keygen,44,39731,8,3146.7
ML-DSA,keygen,44,40466,9,3204.9
ML-DSA,keygen,44,40229,10,3186.1
ML-DSA,keygen,44,39977,11,3166.2
ML-DSA,keygen,44,39487,12,3127.4
ML-DSA,keygen,44,39754,13,3148.5
ML-DSA,keygen,44,39746,14,3147.9
ML-DSA,keygen,44,39482,15,3127.0
ML-DSA,keygen,44,39720,16,3145.8
ML-DSA,keygen,44,38995,17,3088.4
ML-DSA,keygen,44,39979,18,3166.3
ML-DSA,keygen,44,39951,19,3164.1
ML-DSA,keygen,44,39740,20,3147.4
ML-DSA,keygen,44,39715,21,3145.4
ML-DSA,keygen,44,40485,22,3206.4
ML-DSA,keygen,44,39967,23,3165.4
ML-DSA,keygen,44,39723,24,3146.1
ML-DSA,keygen,44,39747,25,3148.0
ML-DSA,keygen,44,39502,26,3128.6
ML-DSA,keygen,44,39741,27,3147.5
ML-DSA,keygen,44,39509,28,3129.1
ML-DSA,keygen,44,39979,29,3166.3
ML-DSA,keygen,44,39505,30,3128.8
ML-DSA,sign,44,239524,1,18970.3
ML-DSA,sign,44,183145,2,14505.1
ML-DSA,sign,44,95736,3,7582.3
ML-DSA,sign,44,177739,4,14076.9
ML-DSA,sign,44,95769,5,7584.9
ML-DSA,sign,44,95692,6,7578.8
ML-DSA,sign,44,101114,7,8008.2
ML-DSA,sign,44,101148,8,8010.9
ML-DSA,sign,44,70167,9,5557.2
ML-DSA,sign,44,152150,10,12050.3
ML-DSA,sign,44,213942,11,16944.2
ML-DSA,sign,44,70180,12,5558.3
ML-DSA,sign,44,70206,13,5560.3
ML-DSA,sign,44,177794,14,14081.3
ML-DSA,sign,44,70172,15,5557.6
ML-DSA,sign,44,70156,16,5556.4
ML-DSA,sign,44,70197,17,5559.6
ML-DSA,sign,44,489407,18,38761.0
ML-DSA,sign,44,95745,19,7583.0
ML-DSA,sign,44,234133,20,18543.3
ML-DSA,sign,44,228817,21,18122.3
ML-DSA,sign,44,152139,22,12049.4
ML-DSA,sign,44,70189,23,5559.0
ML-DSA,sign,44,254156,24,20129.2
ML-DSA,sign,44,361634,25,28641.4
ML-DSA,sign,44,270334,26,21410.5
ML-DSA,sign,44,152067,27,12043.7
ML-DSA,sign,44,244860,28,19392.9
ML-DSA,sign,44,95701,29,7579.5
ML-DSA,sign,44,208455,30,16509.6
ML-DSA,sign,44,95755,31,7583.8
ML-DSA,sign,44,95711,32,7580.3
ML-DSA,sign,44,70168,33,5557.3
ML-DSA,sign,44,152102,34,12046.5
ML-DSA,sign,44,95648,35,7575.3
ML-DSA,sign,44,146658,36,11615.3
ML-DSA,sign,44,177634,37,14068.6
ML-DSA,sign,44,95720,38,7581.0
ML-DSA,sign,44,70174,39,5557.8
ML-DSA,sign,44,70191,40,5559.1
ML-DSA,sign,44,95727,41,7581.6
ML-DSA,sign,44,70169,42,5557.4
ML-DSA,sign,44,70160,43,5556.7
ML-DSA,sign,44,347014,44,27483.5
ML-DSA,sign,44,208670,45,16526.7
ML-DSA,sign,44,383333,46,30360.0
ML-DSA,sign,44,101138,47,8010.1
ML-DSA,sign,44,157481,48,12472.5
ML-DSA,sign,44,234182,49,18547.2
ML-DSA,sign,44,132002,50,10454.6
ML-DSA,sign,44,70169,51,5557.4
ML-DSA,sign,44,183158,52,14506.1
ML-DSA,sign,44,70142,53,5555.2
ML-DSA,sign,44,439836,54,34835.0
ML-DSA,sign,44,101090,55,8006.3
ML-DSA,sign,44,121212,56,9600.0
ML-DSA,sign,44,152230,57,12056.6
ML-DSA,sign,44,70154,58,5556.2
ML-DSA,sign,44,541721,59,42904.3
ML-DSA,sign,44,208687,60,16528.0
ML-DSA,sign,44,70151,61,5556.0
ML-DSA,sign,44,70173,62,5557.7
ML-DSA,sign,44,126605,63,10027.1
ML-DSA,sign,44,95770,64,7585.0
ML-DSA,sign,44,70181,65,5558.3
ML-DSA,sign,44,70151,66,5556.0
ML-DSA,sign,44,208522,67,16514.9
ML-DSA,sign,44,152142,68,12049.6
ML-DSA,sign,44,70169,69,5557.4
ML-DSA,sign,44,310571,70,24597.2
ML-DSA,sign,44,434450,71,34408.4
ML-DSA,sign,44,121196,72,9598.7
ML-DSA,sign,44,95671,73,7577.1
ML-DSA,sign,44,95709,74,7580.2
ML-DSA,sign,44,295855,75,23431.7
ML-DSA,sign,44,70171,76,5557.5
ML-DSA,sign,44,70195,77,5559.4
ML-DSA,sign,44,70187,78,5558.8
ML-DSA,sign,44,70176,79,5557.9
ML-DSA,sign,44,183098,80,14501.4
ML-DSA,sign,44,126586,81,10025.6
ML-DSA,sign,44,408718,82,32370.5
ML-DSA,sign,44,70159,83,5556.6
ML-DSA,sign,44,132008,84,10455.0
ML-DSA,sign,44,95686,85,7578.3
ML-DSA,sign,44,101113,86,8008.1
ML-DSA,sign,44,219339,87,17371.6
ML-DSA,sign,44,183039,88,14496.7
ML-DSA,sign,44,70192,89,5559.2
ML-DSA,sign,44,126650,90,10030.7
ML-DSA,sign,44,383399,91,30365.2
ML-DSA,sign,44,372514,92,29503.1
ML-DSA,sign,44,177614,93,14067.0
ML-DSA,sign,44,188558,94,14933.8
ML-DSA,sign,44,70164,95,5557.0
ML-DSA,sign,44,70160,96,5556.7
ML-DSA,sign,44,316051,97,25031.2
ML-DSA,sign,44,121230,98,9601.4
ML-DSA,sign,44,95701,99,7579.5
ML-DSA,sign,44,70149,100,5555.8
ML-DSA,verify,44,43847,1,3472.7
ML-DSA,verify,44,44011,2,3485.7
ML-DSA,verify,44,43997,3,3484.6
ML-DSA,verify,44,43983,4,3483.5
