# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
# --- ML-DSA-44 (FIPS 204) ---
# PK=1312 SK=2560 SIG=2420 bytes
ML-DSA,keygen,44,40597,1
ML-DSA,keygen,44,39836,2
ML-DSA,keygen,44,40244,3
ML-DSA,keygen,44,39963,4
ML-DSA,keygen,44,39504,5
ML-DSA,keygen,44,39475,6
ML-DSA,keygen,44,40228,7
ML-DSA,keygen,44,39731,8
ML-DSA,keygen,44,40466,9
ML-DSA,keygen,44,40229,10
ML-DSA,keygen,44,39977,11
ML-DSA,keygen,44,39487,12
ML-DSA,keygen,44,39754,13
ML-DSA,keygen,44,39746,14
ML-DSA,keygen,44,39482,15
ML-DSA,keygen,44,39720,16
ML-DSA,keygen,44,38995,17
ML-DSA,keygen,44,39979,18
ML-DSA,keygen,44,39951,19
ML-DSA,keygen,44,39740,20
ML-DSA,keygen,44,39715,21
ML-DSA,keygen,44,40485,22
ML-DSA,keygen,44,39967,23
ML-DSA,keygen,44,39723,24
ML-DSA,keygen,44,39747,25
ML-DSA,keygen,44,39502,26
ML-DSA,keygen,44,39741,27
ML-DSA,keygen,44,39509,28
ML-DSA,keygen,44,39979,29
ML-DSA,keygen,44,39505,30
# SUMMARY ML-DSA keygen 44: mean=39833 min=38995 max=40597 stddev=346.2 cv=0.87%
ML-DSA,sign,44,239524,1
ML-DSA,sign,44,183145,2
ML-DSA,sign,44,95736,3
ML-DSA,sign,44,177739,4
ML-DSA,sign,44,95769,5
ML-DSA,sign,44,95692,6
ML-DSA,sign,44,101114,7
ML-DSA,sign,44,101148,8
ML-DSA,sign,44,70167,9
ML-DSA,sign,44,152150,10
ML-DSA,sign,44,213942,11
ML-DSA,sign,44,70180,12
ML-DSA,sign,44,70206,13
ML-DSA,sign,44,177794,14
ML-DSA,sign,44,70172,15
ML-DSA,sign,44,70156,16
ML-DSA,sign,44,70197,17
ML-DSA,sign,44,489407,18
ML-DSA,sign,44,95745,19
ML-DSA,sign,44,234133,20
ML-DSA,sign,44,228817,21
ML-DSA,sign,44,152139,22
ML-DSA,sign,44,70189,23
ML-DSA,sign,44,254156,24
ML-DSA,sign,44,361634,25
ML-DSA,sign,44,270334,26
ML-DSA,sign,44,152067,27
ML-DSA,sign,44,244860,28
ML-DSA,sign,44,95701,29
ML-DSA,sign,44,208455,30
ML-DSA,sign,44,95755,31
ML-DSA,sign,44,95711,32
ML-DSA,sign,44,70168,33
ML-DSA,sign,44,152102,34
ML-DSA,sign,44,95648,35
ML-DSA,sign,44,146658,36
ML-DSA,sign,44,177634,37
ML-DSA,sign,44,95720,38
ML-DSA,sign,44,70174,39
