algorithm,operation,security_level,time_us,run_number,energy_uj
ML-KEM,keygen,512,10676,1,845.5
ML-KEM,keygen,512,9982,2,790.6
ML-KEM,keygen,512,9934,3,786.8
ML-KEM,keygen,512,9908,4,784.7
ML-KEM,keygen,512,9912,5,785.0
ML-KEM,keygen,512,9942,6,787.4
ML-KEM,keygen,512,9893,7,783.5
ML-KEM,keygen,512,9896,8,783.8
ML-KEM,keygen,512,9912,9,785.0
ML-KEM,keygen,512,9905,10,784.5
ML-KEM,keygen,512,9921,11,785.7
ML-KEM,keygen,512,9910,12,784.9
ML-KEM,keygen,512,9906,13,784.6
ML-KEM,keygen,512,10159,14,804.6
ML-KEM,keygen,512,9921,15,785.7
ML-KEM,keygen,512,9897,16,783.8
ML-KEM,keygen,512,9904,17,784.4
ML-KEM,keygen,512,9906,18,784.6
ML-KEM,keygen,512,9906,19,784.6
ML-KEM,keygen,512,9906,20,784.6
ML-KEM,keygen,512,9898,21,783.9
ML-KEM,keygen,512,9922,22,785.8
ML-KEM,keygen,512,9911,23,785.0
ML-KEM,keygen,512,9899,24,784.0
ML-KEM,keygen,512,9906,25,784.6
ML-KEM,keygen,512,9904,26,784.4
ML-KEM,keygen,512,9897,27,783.8
ML-KEM,keygen,512,9904,28,784.4
ML-KEM,keygen,512,9912,29,785.0
ML-KEM,keygen,512,9900,30,784.1
ML-KEM,encaps,512,11473,1,908.7
ML-KEM,encaps,512,11600,2,918.7
ML-KEM,encaps,512,11541,3,914.0
ML-KEM,encaps,512,11537,4,913.7
ML-KEM,encaps,512,11523,5,912.6
ML-KEM,encaps,512,11539,6,913.9
ML-KEM,encaps,512,11537,7,913.7
ML-KEM,encaps,512,11531,8,913.3
ML-KEM,encaps,512,11527,9,912.9
ML-KEM,encaps,512,11531,10,913.3
ML-KEM,encaps,512,11524,11,912.7
ML-KEM,encaps,512,11533,12,913.4
ML-KEM,encaps,512,11530,13,913.2
ML-KEM,encaps,512,11526,14,912.9
ML-KEM,encaps,512,11537,15,913.7
