# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
# --- ML-KEM-512 (FIPS 203) ---
# PK=800 SK=1632 CT=768 SS=32 bytes
ML-KEM,keygen,512,10676,1
ML-KEM,keygen,512,9982,2
ML-KEM,keygen,512,9934,3
ML-KEM,keygen,512,9908,4
ML-KEM,keygen,512,9912,5
ML-KEM,keygen,512,9942,6
ML-KEM,keygen,512,9893,7
ML-KEM,keygen,512,9896,8
ML-KEM,keygen,512,9912,9
ML-KEM,keygen,512,9905,10
ML-KEM,keygen,512,9921,11
ML-KEM,keygen,512,9910,12
ML-KEM,keygen,512,9906,13
ML-KEM,keygen,512,10159,14
ML-KEM,keygen,512,9921,15
ML-KEM,keygen,512,9897,16
ML-KEM,keygen,512,9904,17
ML-KEM,keygen,512,9906,18
ML-KEM,keygen,512,9906,19
ML-KEM,keygen,512,9906,20
ML-KEM,keygen,512,9898,21
ML-KEM,keygen,512,9922,22
ML-KEM,keygen,512,9911,23
ML-KEM,keygen,512,9899,24
ML-KEM,keygen,512,9906,25
ML-KEM,keygen,512,9904,26
ML-KEM,keygen,512,9897,27
ML-KEM,keygen,512,9904,28
ML-KEM,keygen,512,9912,29
ML-KEM,keygen,512,9900,30
# SUMMARY ML-KEM keygen 512: mean=9945 min=9893 max=10676 stddev=143.8 cv=1.45%
ML-KEM,encaps,512,11473,1
ML-KEM,encaps,512,11600,2
ML-KEM,encaps,512,11541,3
ML-KEM,encaps,512,11537,4
ML-KEM,encaps,512,11523,5
ML-KEM,encaps,512,11539,6
ML-KEM,encaps,512,11537,7
ML-KEM,encaps,512,11531,8
ML-KEM,encaps,512,11527,9
ML-KEM,encaps,512,11531,10
ML-KEM,encaps,512,11524,11
ML-KEM,encaps,512,11533,12
ML-KEM,encaps,512,11530,13
ML-KEM,encaps,512,11526,14
ML-KEM,encaps,512,11537,15
ML-KEM,encaps,512,11539,16
ML-KEM,encaps,512,11552,17
ML-KEM,encaps,512,11521,18
ML-KEM,encaps,512,11506,19
ML-KEM,encaps,512,11544,20
ML-KEM,encaps,512,11518,21
ML-KEM,encaps,512,11531,22
ML-KEM,encaps,512,11540,23
ML-KEM,encaps,512,11538,24
ML-KEM,encaps,512,11519,25
ML-KEM,encaps,512,11530,26
ML-KEM,encaps,512,11536,27
ML-KEM,encaps,512,11525,28
ML-KEM,encaps,512,11531,29
ML-KEM,encaps,512,11518,30
# SUMMARY ML-KEM encaps 512: mean=11531 min=11473 max=11600 stddev=18.8 cv=0.16%
ML-KEM,decaps,512,14123,1
ML-KEM,decaps,512,14266,2
ML-KEM,decaps,512,14265,3
ML-KEM,decaps,512,14214,4
ML-KEM,decaps,512,14245,5
ML-KEM,decaps,512,14246,6
ML-KEM,decaps,512,14216,7
ML-KEM,decaps,512,14233,8
ML-KEM,decaps,512,14223,9
ML-KEM,decaps,512,14276,10
ML-KEM,decaps,512,14224,11
ML-KEM,decaps,512,14222,12
ML-KEM,decaps,512,14231,13
ML-KEM,decaps,512,14250,14
ML-KEM,decaps,512,14217,15
ML-KEM,decaps,512,14256,16
ML-KEM,decaps,512,14249,17
ML-KEM,decaps,512,14257,18
ML-KEM,decaps,512,14232,19
ML-KEM,decaps,512,14216,20
ML-KEM,decaps,512,14234,21
ML-KEM,decaps,512,14209,22
ML-KEM,decaps,512,14239,23
ML-KEM,decaps,512,14244,24
ML-KEM,decaps,512,14227,25
ML-KEM,decaps,512,14230,26
ML-KEM,decaps,512,14233,27
ML-KEM,decaps,512,14234,28
ML-KEM,decaps,512,14254,29
ML-KEM,decaps,512,14222,30
# SUMMARY ML-KEM decaps 512: mean=14233 min=14123 max=14276 stddev=26.4 cv=0.19%
# CORRECTNESS: ML-KEM-512 shared secrets MATCH
# STACK ML-KEM keygen 512: 6248 bytes (avail=62024)
# STACK ML-KEM encaps 512: 8880 bytes (avail=62024)
# STACK ML-KEM decaps 512: 9656 bytes (avail=62024)
# --- ML-KEM-768 (FIPS 203) ---
# PK=1184 SK=2400 CT=1088 SS=32 bytes
ML-KEM,keygen,768,16327,1
ML-KEM,keygen,768,16060,2
ML-KEM,keygen,768,16013,3
ML-KEM,keygen,768,16006,4
ML-KEM,keygen,768,15988,5
ML-KEM,keygen,768,15979,6
ML-KEM,keygen,768,16231,7
ML-KEM,keygen,768,15994,8
ML-KEM,keygen,768,15993,9
ML-KEM,keygen,768,15965,10
ML-KEM,keygen,768,15985,11
ML-KEM,keygen,768,15985,12
ML-KEM,keygen,768,15992,13
ML-KEM,keygen,768,15984,14
ML-KEM,keygen,768,15987,15
ML-KEM,keygen,768,15986,16
ML-KEM,keygen,768,15980,17
ML-KEM,keygen,768,16001,18
ML-KEM,keygen,768,16004,19
ML-KEM,keygen,768,16004,20
ML-KEM,keygen,768,15983,21
ML-KEM,keygen,768,15991,22
ML-KEM,keygen,768,15982,23
ML-KEM,keygen,768,15990,24
ML-KEM,keygen,768,15996,25
ML-KEM,keygen,768,15989,26
ML-KEM,keygen,768,15992,27
ML-KEM,keygen,768,15985,28
ML-KEM,keygen,768,16227,29
ML-KEM,keygen,768,15992,30
# SUMMARY ML-KEM keygen 768: mean=16020 min=15965 max=16327 stddev=83.4 cv=0.52%
ML-KEM,encaps,768,18492,1
ML-KEM,encaps,768,18620,2
ML-KEM,encaps,768,18584,3
ML-KEM,encaps,768,18588,4
ML-KEM,encaps,768,18575,5
ML-KEM,encaps,768,18569,6
ML-KEM,encaps,768,18584,7
ML-KEM,encaps,768,18576,8
ML-KEM,encaps,768,18583,9
ML-KEM,encaps,768,18572,10
ML-KEM,encaps,768,18593,11
ML-KEM,encaps,768,18591,12
ML-KEM,encaps,768,18576,13
ML-KEM,encaps,768,18568,14
ML-KEM,encaps,768,18596,15
ML-KEM,encaps,768,18593,16
ML-KEM,encaps,768,18596,17
ML-KEM,encaps,768,18580,18
ML-KEM,encaps,768,18570,19
ML-KEM,encaps,768,18571,20
ML-KEM,encaps,768,18572,21
ML-KEM,encaps,768,18578,22
ML-KEM,encaps,768,18581,23
ML-KEM,encaps,768,18588,24
ML-KEM,encaps,768,18588,25
ML-KEM,encaps,768,18584,26
ML-KEM,encaps,768,18580,27
ML-KEM,encaps,768,18582,28
ML-KEM,encaps,768,18574,29
ML-KEM,encaps,768,18598,30
# SUMMARY ML-KEM encaps 768: mean=18580 min=18492 max=18620 stddev=19.6 cv=0.11%
ML-KEM,decaps,768,21947,1
ML-KEM,decaps,768,22044,2
ML-KEM,decaps,768,22017,3
ML-KEM,decaps,768,22045,4
ML-KEM,decaps,768,22019,5
ML-KEM,decaps,768,22018,6
ML-KEM,decaps,768,22021,7
ML-KEM,decaps,768,22017,8
ML-KEM,decaps,768,22004,9
ML-KEM,decaps,768,22004,10
ML-KEM,decaps,768,22015,11
ML-KEM,decaps,768,22016,12
ML-KEM,decaps,768,22033,13
ML-KEM,decaps,768,22014,14
ML-KEM,decaps,768,22013,15
ML-KEM,decaps,768,22017,16
ML-KEM,decaps,768,22015,17
ML-KEM,decaps,768,22032,18
ML-KEM,decaps,768,22015,19
ML-KEM,decaps,768,22003,20
ML-KEM,decaps,768,22004,21
ML-KEM,decaps,768,22003,22
ML-KEM,decaps,768,22027,23
ML-KEM,decaps,768,22018,24
ML-KEM,decaps,768,22009,25
ML-KEM,decaps,768,22016,26
ML-KEM,decaps,768,22021,27
ML-KEM,decaps,768,22016,28
ML-KEM,decaps,768,22021,29
ML-KEM,decaps,768,22022,30
# SUMMARY ML-KEM decaps 768: mean=22016 min=21947 max=22045 stddev=16.3 cv=0.07%
# CORRECTNESS: ML-KEM-768 shared secrets MATCH
# STACK ML-KEM keygen 768: 10352 bytes (avail=60552)
# STACK ML-KEM encaps 768: 13480 bytes (avail=60552)
# STACK ML-KEM decaps 768: 14576 bytes (avail=60552)
# --- ML-KEM-1024 (FIPS 203) ---
# PK=1568 SK=3168 CT=1568 SS=32 bytes
ML-KEM,keygen,1024,25688,1
ML-KEM,keygen,1024,25193,2
ML-KEM,keygen,1024,25383,3
ML-KEM,keygen,1024,25138,4
ML-KEM,keygen,1024,25154,5
ML-KEM,keygen,1024,25136,6
ML-KEM,keygen,1024,25127,7
ML-KEM,keygen,1024,25146,8
ML-KEM,keygen,1024,25160,9
ML-KEM,keygen,1024,25140,10
ML-KEM,keygen,1024,25142,11
ML-KEM,keygen,1024,25157,12
ML-KEM,keygen,1024,25142,13
ML-KEM,keygen,1024,25148,14
ML-KEM,keygen,1024,25151,15
ML-KEM,keygen,1024,25394,16
ML-KEM,keygen,1024,25141,17
ML-KEM,keygen,1024,25136,18
ML-KEM,keygen,1024,25172,19
ML-KEM,keygen,1024,25144,20
ML-KEM,keygen,1024,25126,21
ML-KEM,keygen,1024,25153,22
ML-KEM,keygen,1024,25129,23
ML-KEM,keygen,1024,25152,24
ML-KEM,keygen,1024,25148,25
ML-KEM,keygen,1024,25143,26
ML-KEM,keygen,1024,25149,27
ML-KEM,keygen,1024,25160,28
ML-KEM,keygen,1024,25132,29
ML-KEM,keygen,1024,25143,30
# SUMMARY ML-KEM keygen 1024: mean=25181 min=25126 max=25688 stddev=112.6 cv=0.45%
ML-KEM,encaps,1024,28068,1
ML-KEM,encaps,1024,28148,2
ML-KEM,encaps,1024,28082,3
ML-KEM,encaps,1024,28109,4
ML-KEM,encaps,1024,28105,5
ML-KEM,encaps,1024,28116,6
ML-KEM,encaps,1024,28099,7
ML-KEM,encaps,1024,28095,8
ML-KEM,encaps,1024,28107,9
ML-KEM,encaps,1024,28098,10
ML-KEM,encaps,1024,28106,11
ML-KEM,encaps,1024,28107,12
ML-KEM,encaps,1024,28079,13
ML-KEM,encaps,1024,28074,14
ML-KEM,encaps,1024,28096,15
ML-KEM,encaps,1024,28096,16
ML-KEM,encaps,1024,28098,17
ML-KEM,encaps,1024,28104,18
ML-KEM,encaps,1024,28104,19
ML-KEM,encaps,1024,28103,20
ML-KEM,encaps,1024,28090,21
ML-KEM,encaps,1024,28102,22
ML-KEM,encaps,1024,28085,23
ML-KEM,encaps,1024,28075,24
ML-KEM,encaps,1024,28087,25
ML-KEM,encaps,1024,28093,26
ML-KEM,encaps,1024,28122,27
ML-KEM,encaps,1024,28074,28
ML-KEM,encaps,1024,28096,29
ML-KEM,encaps,1024,28097,30
# SUMMARY ML-KEM encaps 1024: mean=28097 min=28068 max=28148 stddev=15.8 cv=0.06%
ML-KEM,decaps,1024,32426,1
ML-KEM,decaps,1024,32526,2
ML-KEM,decaps,1024,32451,3
ML-KEM,decaps,1024,32458,4
ML-KEM,decaps,1024,32450,5
ML-KEM,decaps,1024,32461,6
ML-KEM,decaps,1024,32457,7
ML-KEM,decaps,1024,32451,8
ML-KEM,decaps,1024,32460,9
ML-KEM,decaps,1024,32438,10
ML-KEM,decaps,1024,32460,11
ML-KEM,decaps,1024,32437,12
ML-KEM,decaps,1024,32439,13
ML-KEM,decaps,1024,32443,14
ML-KEM,decaps,1024,32450,15
ML-KEM,decaps,1024,32446,16
ML-KEM,decaps,1024,32472,17
ML-KEM,decaps,1024,32450,18
ML-KEM,decaps,1024,32462,19
ML-KEM,decaps,1024,32461,20
ML-KEM,decaps,1024,32444,21
ML-KEM,decaps,1024,32434,22
ML-KEM,decaps,1024,32430,23
ML-KEM,decaps,1024,32423,24
ML-KEM,decaps,1024,32440,25
ML-KEM,decaps,1024,32455,26
ML-KEM,decaps,1024,32442,27
ML-KEM,decaps,1024,32439,28
ML-KEM,decaps,1024,32460,29
ML-KEM,decaps,1024,32423,30
# SUMMARY ML-KEM decaps 1024: mean=32450 min=32423 max=32526 stddev=18.8 cv=0.06%
# CORRECTNESS: ML-KEM-1024 shared secrets MATCH
# STACK ML-KEM keygen 1024: 15528 bytes (avail=58920)
# STACK ML-KEM encaps 1024: 18912 bytes (avail=58920)
# STACK ML-KEM decaps 1024: 20488 bytes (avail=58920)
# === ML-KEM benchmarks complete ===
